,H2O,H2,O2,CO,CO2,CH4,N2,S2,H2S,SO2,SO,fO2_shift,C/H ratio,Number of ocean moles
0,1.283307514,94.9449665,6.51298E-16,55.66973149,0.291473054,157.4826231,0.000108425,1.66571E-08,0.045135625,5.10682E-11,7.00983E-10,-3.595612766,0.767506587,7.229570005
1,0.061056951,5.179113277,4.95475E-16,36.11344091,0.164918382,0.34852056,7.19619E-05,1.26819E-08,0.002148297,3.38987E-11,5.33482E-10,-3.704549853,0.451738359,1.199850484
2,0.432283538,1.824962685,2.00028E-13,129.3257233,11.86643101,0.007712703,0.299930724,5.11924E-06,0.015209122,2.74957E-07,2.15361E-07,-1.102216279,0.974906546,1.855331175
3,2.128810121,1.152434676,1.21647E-11,140.4697346,100.5133771,0.000428374,1.165042367,0.000311198,0.074882744,0.000130374,1.30945E-05,0.678065316,0.781031168,3.593153041
4,0.98505809,1.830381714,1.03253E-12,21.05775207,4.389880275,0.000556037,0.706581696,2.64205E-05,0.034654511,3.22436E-06,1.11158E-06,-0.385197211,0.129630587,2.615466121
5,4.574490911,119.23158,5.24765E-15,9.802774832,0.145687064,15.40666248,0.002425627,1.33385E-07,0.160395655,1.16437E-09,5.63059E-09,-2.68354632,0.164235709,9.708723859
6,7.59961588,11.79131672,1.48088E-12,71.1796334,17.77074266,0.065129753,0.743989054,3.78117E-05,0.267068584,5.53229E-06,1.59254E-06,-0.231527349,0.171381982,7.247301127
7,4.78498802,2.755680812,1.07489E-11,126.4793423,85.07305627,0.00234614,1.135689408,0.000274786,0.168257061,0.000108251,1.15664E-05,0.625248515,0.462389634,5.414776459
8,0.550022553,1.410883217,5.41802E-13,23.7497733,3.586488091,0.000514376,0.55952198,1.38656E-05,0.019351188,1.22569E-06,5.83321E-07,-0.66529066,0.180373595,1.999502738
9,1.44937143,3.54086957,5.97312E-13,34.92554042,5.537750638,0.004537552,0.571213418,1.52817E-05,0.050985154,1.4186E-06,6.42991E-07,-0.623524123,0.169339641,3.248904856
10,1.581560866,146.6013103,4.14914E-16,1.553476934,0.006491923,13.12686045,5.5109E-05,1.05789E-08,0.055540042,2.59269E-11,4.4588E-10,-3.786051857,0.157713965,9.410789894
11,0.646489023,14.43308628,7.15263E-15,203.9538255,3.538785974,4.023247385,0.003915749,1.83039E-07,0.022744604,1.85912E-09,7.70056E-09,-2.551879628,0.995379145,2.944425919
12,8.121601632,6.181149901,6.1547E-12,348.4369232,177.3442336,0.042975281,1.06890305,0.000157194,0.28545287,4.68808E-05,6.61971E-06,0.371316449,0.874523551,7.164290277
13,3.084586196,30.84230453,3.56584E-14,231.4809741,8.967799404,9.338718128,0.040208615,9.11733E-07,0.10847458,2.06855E-08,3.83736E-08,-1.856282179,0.637161996,5.697078173
14,6.063241355,2.431367878,2.21702E-11,33.00404221,31.88172486,0.000331851,1.15620343,0.000566555,0.213166574,0.000320599,2.3852E-05,0.944993447,0.132106538,6.010428184
15,5.141559975,51.16882255,3.59949E-14,94.95526312,3.695974943,10.49467079,0.039746965,9.19175E-07,0.180697381,2.09658E-08,3.87113E-08,-1.847869895,0.277204245,7.455068402
16,3.43048105,1.025036404,3.99295E-11,95.49640422,123.8007422,0.000127168,1.284062884,0.001021173,0.120652449,0.0007752,4.29748E-05,1.195001582,0.558028817,4.467634285
17,17.84856916,1.059569197,1.0116E-09,57.02261267,372.0845934,1.61198E-05,1.461822668,0.02576923,0.626508994,0.098657832,0.001086609,2.590465713,0.476456766,9.863876012
18,2.062790681,107.280383,1.31805E-15,41.56512313,0.309588208,105.526922,0.000311848,3.36867E-08,0.072526537,1.46971E-10,1.41812E-09,-3.287521003,0.553861321,7.910240528
19,16.37242355,1.778980569,3.01957E-10,71.98502984,256.6282425,0.000104996,1.402415168,0.007699104,0.574961246,0.01609668,0.000324497,2.06912139,0.384270487,9.544899654
20,7.961031788,34.75740914,1.87028E-13,336.9199826,29.89298097,7.537511947,0.273388664,4.77462E-06,0.279746212,2.48283E-07,2.01113E-07,-1.141442931,0.63216149,8.216649763
21,2.938368483,0.730563815,5.76711E-11,115.5589488,180.041315,6.50429E-05,1.322355372,0.001475089,0.103350966,0.001345668,6.20734E-05,1.351896565,0.806826271,4.110266968
22,5.936359621,0.46083104,5.91587E-10,36.39288948,181.5998606,2.54478E-06,1.452044313,0.01511569,0.208690641,0.044187927,0.000636416,2.365692187,0.420823549,5.700762895
