H2,H2O,O2,H2_melt,H2O_melt,O2_melt,H2_mass_atm,H2O_mass_atm,O2_mass_atm,H2_mass_melt,H2O_mass_melt,O2_mass_melt,H2_mass_tot,H2O_mass_tot,O2_mass_tot,H2_fugacity,Total_Pressure
1000.0,1000.0,3.6247253523739597e-12,471.2527092535244,30515.979420624855,0.0,5.647207021290721e+21,5.0467267050833065e+22,324920815.7680098,1.711354213654174e+22,1.1081877926599916e+24,0.0,2.276074915783246e+22,1.1586550597108247e+24,324920815.7680098,1000,2000.0000000000036
1099.9999999999998,1000.0,2.9956407870859125e-12,495.3924599647731,30515.979420624877,0.0,6.457537223141667e+21,5.246266055258836e+22,279146822.61026514,1.7990177183620735e+22,1.1081877926599924e+24,0.0,2.4447714406762403e+22,1.1606504532125808e+24,279146822.61026514,1100,2100.000000000003
1199.9999999999995,1000.0,2.517170383593024e-12,518.5084773688777,30515.97942062485,0.0,7.307237199402956e+21,5.441868427993327e+22,243306265.66005066,1.8829635355650795e+22,1.1081877926599915e+24,0.0,2.6136872555053752e+22,1.1626064769399248e+24,243306265.66005066,1200,2200.0000000000023
1300.0000000000032,1000.000000000002,2.144807900812992e-12,540.7244986514479,30515.979420624888,0.0,8.195153164336844e+21,5.633649201860577e+22,214620322.9015835,1.963641016852733e+22,1.1081877926599928e+24,0.0,2.783156333286417e+22,1.1645242846785986e+24,214620322.9015835,1300,2300.0000000000077
1400.0000000000005,1000.0,1.8493496695785494e-12,562.1410537190787,30515.97942062486,0.0,9.120175980430409e+21,5.821719290611827e+22,191233043.73528785,2.0414152365808344e+22,1.1081877926599918e+24,0.0,2.9534328346238754e+22,1.16640498556611e+24,191233043.73528785,1400,2400.0000000000023
1500.0000000000005,1000.0,1.610989045499537e-12,582.8411490748978,30515.979420624855,0.0,1.0081239019390081e+22,6.006185357076482e+22,171863622.14273217,2.116587632865491e+22,1.1081877926599916e+24,0.0,3.124711534804499e+22,1.1682496462307564e+24,171863622.14273217,1500,2500.0000000000023
1599.9999999999993,1000.0,1.4159083407710765e-12,602.8942761908402,30515.979420624855,0.0,1.1077316144939122e+22,6.187150014882194e+22,155603165.82974997,2.189410563987036e+22,1.1081877926599916e+24,0.0,3.297142178480948e+22,1.1700592928088135e+24,155603165.82974997,1600,2600.0000000000005
1700.0000000000007,1000.0,1.2542302257349331e-12,622.3593115690348,30515.979420624855,0.0,1.2107419809403067e+22,6.364712018796428e+22,141790999.27602807,2.2600978399629503e+22,1.1081877926599916e+24,0.0,3.470839820903257e+22,1.171834912847956e+24,141790999.27602807,1700,2700.0000000000023
1799.9999999999998,1000.0,1.1187423927080102e-12,641.286661743457,30515.979420624866,0.0,1.317059925666371e+22,6.5389664444309804e+22,129936704.06671506,2.328832512121364e+22,1.1081877926599919e+24,0.0,3.645892437787735e+22,1.1735774571043018e+24,129936704.06671506,1800,2800.000000000001
1899.9999999999995,1000.0,1.0040790449789367e-12,659.7198805962595,30515.97942062486,0.0,1.4265938824611485e+22,6.710004857996822e+22,119669473.57059385,2.3957727463853164e+22,1.1081877926599918e+24,0.0,3.8223666288464646e+22,1.1752878412399599e+24,119669473.57059385,1900,2900.0000000000005
2000.0000000000002,1000.0,9.061813380934896e-13,677.6969095835274,30515.97942062487,0.0,1.539255634072712e+22,6.87791547674588e+22,110704325.69871055,2.4610563271525797e+22,1.108187792659992e+24,0.0,4.0003119612252916e+22,1.1769669474274509e+24,110704325.69871055,2000,3000.000000000001
2099.999999999999,1000.0,8.21933186479355e-13,695.2510431415661,30515.97942062485,0.0,1.6549601604886315e+22,7.0427833206905806e+22,102819025.98435049,2.524804163168597e+22,1.1081877926599915e+24,0.0,4.1797643236572284e+22,1.1786156258668973e+24,102819025.98435049,2100,3100.0
2199.9999999999995,1000.0,7.489101967714811e-13,712.4116902816444,30515.97942062487,0.0,1.773625495390501e+22,7.204690356149333e+22,95837992.1846476,2.5871230532577917e+22,1.108187792659992e+24,0.0,4.3607485486482925e+22,1.1802346962214853e+24,95837992.1846476,2200,3200.0000000000005
2300.0000000000055,1000.000000000002,6.852032802219199e-13,729.2049826558784,30515.97942062488,0.0,1.895172590273281e+22,7.363715631627195e+22,89620855.36527416,2.6481078945148228e+22,1.1081877926599926e+24,0.0,4.543280484788103e+22,1.1818249489762646e+24,89620855.36527416,2300,3300.000000000008
2400.000000000002,1000.000000000001,6.292925958982585e-13,745.6542653353897,30515.979420624884,0.0,2.019525185756193e+22,7.519935406504889e+22,84054191.40371342,2.7078434645654676e+22,1.1081877926599927e+24,0.0,4.727368650321661e+22,1.1833871467250416e+24,84054191.40371342,2400,3400.000000000003
2500.000000000002,1000.000000000001,5.799560563798339e-13,761.7804968406839,30515.979420624888,0.0,2.1466096896450627e+22,7.67342327297664e+22,79045451.68502899,2.7664058742769434e+22,1.1081877926599928e+24,0.0,4.913015563922006e+22,1.1849220253897593e+24,79045451.68502899,2500,3500.000000000003
2600.000000000004,1000.000000000002,5.362019752032523e-13,777.6025781425195,30515.97942062488,0.0,2.276355061336319e+22,7.824250271646013e+22,74518445.30934292,2.8238637625245595e+22,1.1081877926599926e+24,0.0,5.100218823860878e+22,1.1864302953764527e+24,74518445.30934292,2600,3600.000000000007
2700.0000000000005,1000.0,4.972188412035598e-13,793.1376254770396,30515.979420624855,0.0,2.4086927021813013e+22,7.972485001161637e+22,70409932.89659177,2.8802792869198693e+22,1.1081877926599916e+24,0.0,5.288971989101171e+22,1.187912642671608e+24,70409932.89659177,2700,3700.000000000001
2799.9999999999986,999.999999999999,4.623374173946373e-13,808.4011982846721,30515.97942062486,0.0,2.5435563514553434e+22,8.118193722248206e+22,66667028.142432,2.935708951570787e+22,1.1081877926599918e+24,0.0,5.479265303026131e+22,1.1893697298824738e+24,66667028.142432,2800,3799.999999999998
2900.0000000000027,1000.000000000001,4.3100182549036293e-13,823.4074909851261,30515.97942062488,0.0,2.68088198760015e+22,8.261440456464037e+22,63245194.00949179,2.990204303512485e+22,1.1081877926599926e+24,0.0,5.671086291112635e+22,1.190802197224633e+24,63245194.00949179,2900,3900.000000000004
3000.0000000000073,1000.000000000002,4.027472613748841e-13,838.1694953687231,30515.97942062488,0.0,2.8206077344302552e+22,8.402287079994565e+22,60106681.94537018,3.0438125224315178e+22,1.1081877926599926e+24,0.0,5.8644202568617726e+22,1.1922106634599383e+24,60106681.94537018,3000,4000.0000000000095
3099.9999999999995,1000.0,3.771826589358952e-13,852.6991389305125,30515.979420624855,0.0,2.962673772014868e+22,8.540793412770548e+22,57219304.85516008,3.096576923026156e+22,1.1081877926599916e+24,0.0,6.059250695041024e+22,1.1935957267876971e+24,57219304.85516008,3100,4100.0
3200.0000000000023,1000.000000000001,3.53977085192769e-13,867.0074033682051,30515.979420624863,0.0,3.107022251965494e+22,8.677017303180555e+22,54555464.11056754,3.1485373853316367e+22,1.1081877926599918e+24,0.0,6.255559637297131e+22,1.1949579656917974e+24,54555464.11056754,3200,4200.000000000004
3300.0000000000005,1000.0,3.328489763428789e-13,881.1044266161718,30515.97942062486,0.0,3.25359721687714e+22,8.811014708629515e+22,52091371.78031134,3.199730725256628e+22,1.1081877926599918e+24,0.0,6.4533279421337675e+22,1.1962979397462869e+24,52091371.78031134,3300,4300.0
