,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,1.0399999999999998e+20,0.0,0.0,1.466734738201952e+21,0.0,0.0,0.0,0.0,9.169083920687594,1.0000000000000002,9.16908392068759,0.027693318895935234,1.0399999999999998e+20
1,1.04e+20,0.0,0.0,1.4667347382019524e+21,0.0,0.0,0.0,0.0,14.725867088302449,1.000000000000001,14.725867088302435,0.23433982895294803,1.04e+20
2,1.0399999980667965e+20,0.0,0.0,1.4667347354755132e+21,0.0,0.0,0.0,0.0,9.323361673667852,1.0,9.323361673667852,0.1038272780755694,1.0399999980667965e+20
3,1.0400000010641647e+20,0.0,0.0,1.4667347397027672e+21,0.0,0.0,0.0,0.0,12.573030672670154,1.0000000000000007,12.573030672670146,0.0617832249729128,1.0400000010641647e+20
4,1.0399999999818472e+20,0.0,0.0,1.4667347381763511e+21,0.0,0.0,0.0,0.0,6.279571623785604,1.0000000000000007,6.2795716237856,0.03231028572322493,1.0399999999818472e+20
5,1.039999999944687e+20,0.0,0.0,1.466734738123943e+21,0.0,0.0,0.0,0.0,6.197414306745565,1.0000000000000016,6.197414306745555,0.01753011653277754,1.039999999944687e+20
6,1.0400000000122683e+20,0.0,0.0,1.4667347382192547e+21,0.0,0.0,0.0,0.0,14.526171624986288,1.0000000000000007,14.526171624986281,0.2941737669746071,1.0400000000122683e+20
7,1.0399999999776896e+20,0.0,0.0,1.4667347381704875e+21,0.0,0.0,0.0,0.0,7.221345467553438,1.0000000000000009,7.221345467553433,0.059702839600545725,1.0399999999776896e+20
8,1.0400000006627136e+20,0.0,0.0,1.466734739136592e+21,0.0,0.0,0.0,0.0,2.7615797554256467,1.0000000000000004,2.7615797554256454,0.011614107998426562,1.0400000006627136e+20
9,1.04e+20,0.0,0.0,1.4667347382019524e+21,0.0,0.0,0.0,0.0,9.624988587136528,1.0000000000000004,9.624988587136523,0.0259954032015152,1.04e+20
10,1.040000000028425e+20,0.0,0.0,1.4667347382420408e+21,0.0,0.0,0.0,0.0,8.958609936159416,1.0000000000000007,8.958609936159409,0.01604924445219394,1.040000000028425e+20
11,1.040000000000452e+20,0.0,0.0,1.46673473820259e+21,0.0,0.0,0.0,0.0,11.982534655606168,1.0000000000000013,11.98253465560615,0.025988615579899628,1.040000000000452e+20
12,1.0399999999988261e+20,0.0,0.0,1.4667347382002967e+21,0.0,0.0,0.0,0.0,13.858527252120046,1.000000000000001,13.858527252120032,0.09839799228278166,1.0399999999988261e+20
13,1.0399999999999612e+20,0.0,0.0,1.4667347382018976e+21,0.0,0.0,0.0,0.0,13.910885553189173,1.0000000000000013,13.91088555318915,0.02808679175194029,1.0399999999999612e+20
14,1.0399999988989385e+20,0.0,0.0,1.4667347366491012e+21,0.0,0.0,0.0,0.0,8.564515189929585,1.0000000000000009,8.564515189929578,0.02352939344359461,1.0399999988989385e+20
