,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,20701142781947.61,0.0,1.193678030861421e+21,322801682560745.94,1.8613526840357979e+22,0.0,0.0,367.3985936784922,2.017948876541238e-06,1.0000000000000002,2.017948876541238e-06,6.094796627137863e-09,1.1936780515625638e+21
1,2.853612066561643e+16,0.0,1.1939005007427726e+21,4.449758093862496e+17,1.8616995907393353e+22,0.0,0.0,367.46706701839724,0.0044675117155570454,1.000000000000001,0.004467511715557041,7.109366973035844e-05,1.1939290368634383e+21
2,6378875338308.152,0.0,1.193835164705344e+21,99468503441595.66,1.861597709490382e+22,0.0,0.0,367.4469574347012,6.322757689541022e-07,1.0,6.322757689541022e-07,7.041180464880114e-09,1.1938351710842192e+21
3,2.098632023930538e+16,0.0,1.1928965564400492e+21,3.272485753740142e+17,1.860134097889351e+22,0.0,0.0,367.15806600186187,0.002805215056540418,1.0000000000000007,0.0028052150565404154,1.3784682265380304e-05,1.1929175427602884e+21
4,7817998262752.622,0.0,1.1927677381262503e+21,121909356408781.95,1.859933226039536e+22,0.0,0.0,367.11841739804566,5.219338679674121e-07,1.0000000000000007,5.219338679674121e-07,2.685506816862897e-09,1.1927677459442486e+21
5,10320450488257.588,0.0,1.191866378117063e+21,160931153293605.28,1.8585276972210386e+22,0.0,0.0,366.8409904946332,6.799845983729431e-07,1.0000000000000016,6.799845983729417e-07,1.923416550834287e-09,1.1918663884375135e+21
6,3913369857185045.5,0.0,1.193973064894967e+21,6.102283278213252e+16,1.8618127430936215e+22,0.0,0.0,367.4894013219351,0.0006043547745465543,1.0000000000000007,0.0006043547745465537,1.2238965999248065e-05,1.1939769782648242e+21
7,148510831710.54285,0.0,1.1939298071858706e+21,2315792266138.3022,1.8617452895166517e+22,0.0,0.0,367.4760871609328,1.1401608995592828e-08,1.0000000000000009,1.1401608995592828e-08,9.426338015686147e-11,1.1939298073343815e+21
8,1548511556644.4436,0.0,1.19200466284332e+21,24146596215233.586,1.8587433304485295e+22,0.0,0.0,366.8835527372484,4.54634021347855e-08,1.0000000000000004,4.54634021347855e-08,1.9120101866763275e-10,1.1920046643918317e+21
9,128812744205657.1,0.0,1.1934756155107686e+21,2008631649123916.2,1.861037049210924e+22,0.0,0.0,367.3362928626558,1.3181017804404774e-05,1.0000000000000004,1.3181017804404774e-05,3.559961337406545e-08,1.1934757443235128e+21
10,57830686216428.49,0.0,1.1926575266893807e+21,901778370930560.9,1.8597613686805794e+22,0.0,0.0,367.08449574927084,5.50793573193398e-06,1.0000000000000007,5.50793573193398e-06,9.86740215487927e-09,1.192657584520067e+21
11,1.0837964322158348e+16,0.0,1.1926376970380745e+21,1.6900096557842787e+17,1.8597304474658731e+22,0.0,0.0,367.07839244015844,0.0013806585977202846,1.0000000000000013,0.0013806585977202833,2.994475423982876e-06,1.1926485350023968e+21
12,2.4365279971854467e+17,0.0,1.1925172878513306e+21,3.799381248573899e+18,1.8595426883238485e+22,0.0,0.0,367.0413320564268,0.0358986715206338,1.000000000000001,0.035898671520633765,0.0002548869110683508,1.192760940651049e+21
13,3.817843368617331e+18,0.0,1.1510834964622633e+21,5.953324780783494e+19,1.7949332234448107e+22,0.0,0.0,354.28854923430697,0.5646284739118552,1.0000000000000013,0.5646284739118544,0.0011400138620465058,1.1549013398308806e+21
14,33563307890765.637,0.0,1.1927947768054497e+21,523366867885744.5,1.859975388596607e+22,0.0,0.0,367.1267395523083,3.056028726880614e-06,1.0000000000000009,3.056028726880614e-06,8.395863711497808e-09,1.1927948103687576e+21
15,14706107407498.732,0.0,1.193498778850438e+21,229318558161889.88,1.8610731687870156e+22,0.0,0.0,367.3434222377464,1.3546272214687585e-06,1.0000000000000013,1.3546272214687555e-06,6.825301125704631e-09,1.1934987935565454e+21
16,1088953819189.2686,0.0,1.1937344886674728e+21,16980517876133.152,1.8614407210827338e+22,0.0,0.0,367.41597065788636,8.51161580428637e-08,1.0000000000000013,8.511615804286353e-08,4.0420174450331984e-10,1.1937344897564266e+21
17,4035188288107.7427,0.0,1.1931866157140728e+21,62922399143418.06,1.8605863995940608e+22,0.0,0.0,367.247342478939,3.196774893784211e-07,0.9999999999999998,3.196774893784211e-07,6.116888717367811e-10,1.193186619749261e+21
18,128958181120.04237,0.0,1.1939501942306148e+21,2010899508495.958,1.8617770798985412e+22,0.0,0.0,367.4823620285057,1.089198711049383e-08,1.0000000000000004,1.089198711049383e-08,6.794946629642988e-11,1.193950194359573e+21
19,278821579359108.56,0.0,1.1939222711671091e+21,4347782917078986.5,1.861733538283584e+22,0.0,0.0,367.47376767224046,3.569856125814705e-05,0.9999999999999999,3.569856125814705e-05,5.581019778742973e-07,1.1939225499886884e+21
20,3.506367697060957e+18,0.0,1.1562705127625577e+21,5.4676275808066126e+19,1.8030215575374832e+22,0.0,0.0,355.88504547939607,0.5193598126411624,1.0000000000000009,0.5193598126411619,0.0014719586021077014,1.1597768804596187e+21
21,6.34109758253931e+17,0.0,1.1909311667162812e+21,9.887941890389633e+18,1.8570693824946379e+22,0.0,0.0,366.55314457257043,0.0959956142499216,1.0000000000000004,0.09599561424992155,0.0005550262639083156,1.191565276474535e+21
