,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,697647488537.6637,0.0,0.0,10889918450391.162,0.0,0.0,0.0,0.0,6.807677868425347e-08,1.0000000000000002,6.807677868425347e-08,2.05611810058519e-10,697647488537.6637
1,4.523275534028431e+16,0.0,0.0,7.060600447006392e+17,0.0,0.0,0.0,0.0,0.0070887707939395,1.000000000000001,0.0070887707939394935,0.00011280703033494048,4.523275534028431e+16
2,120301124410.04158,0.0,0.0,1877838673313.0024,0.0,0.0,0.0,0.0,1.1936561324036375e-08,1.0,1.1936561324036375e-08,1.329285203380134e-10,120301124410.04158
3,2.6404323071645404e+16,0.0,0.0,4.121579016799928e+17,0.0,0.0,0.0,0.0,0.0035330682498568664,1.0000000000000007,0.003533068249856863,1.7361315358916927e-05,2.6404323071645404e+16
4,134200019146.33597,0.0,0.0,2094793271036.9583,0.0,0.0,0.0,0.0,8.968495829624986e-09,1.0000000000000007,8.968495829624986e-09,4.6145609943381086e-11,134200019146.33597
5,202513552289.52496,0.0,0.0,3161132385289.0117,0.0,0.0,0.0,0.0,1.335677581016792e-08,1.0000000000000016,1.3356775810167892e-08,3.778121404592428e-11,202513552289.52496
6,2281228877794540.0,0.0,0.0,3.560880939732463e+16,0.0,0.0,0.0,0.0,0.0003526606844363429,1.0000000000000007,0.00035266068443634254,7.141835074152241e-06,2281228877794540.0
7,376049182.4949789,0.0,0.0,5869934312.084176,0.0,0.0,0.0,0.0,2.89001292710082e-11,1.0000000000000009,2.89001292710082e-11,2.389332832855877e-13,376049182.4949789
8,7855078775.17858,0.0,0.0,122613739300.33885,0.0,0.0,0.0,0.0,2.308581171181494e-10,1.0000000000000004,2.308581171181494e-10,9.708975810877266e-13,7855078775.17858
9,11098575530976.643,0.0,0.0,173243055316062.34,0.0,0.0,0.0,0.0,1.1368534383128323e-06,1.0000000000000004,1.1368534383128323e-06,3.070441408051903e-09,11098575530976.643
10,3225390538263.1187,0.0,0.0,50346687273213.59,0.0,0.0,0.0,0.0,3.075105000915931e-07,1.0000000000000007,3.075105000915931e-07,5.509014481885313e-10,3225390538263.1187
11,9570505709470684.0,0.0,0.0,1.4939067138849472e+17,0.0,0.0,0.0,0.0,0.0012204516948514923,1.0000000000000013,0.001220451694851491,2.647006734630461e-06,9570505709470684.0
12,1.0974234681100319e+18,0.0,0.0,1.7130215860611539e+19,0.0,0.0,0.0,0.0,0.16185582652134944,1.000000000000001,0.16185582652134928,0.0011492049681205933,1.0974234681100319e+18
13,7.480199298171902e+19,0.0,0.0,1.1676206348927111e+21,0.0,0.0,0.0,0.0,11.074011270399712,1.0000000000000013,11.074011270399696,0.022358997004259716,7.480199298171902e+19
14,1394032992013.3308,0.0,0.0,21760137963085.92,0.0,0.0,0.0,0.0,1.2706117027376183e-07,1.0000000000000009,1.2706117027376183e-07,3.4907664946292105e-10,1394032992013.3308
15,406185776302.95386,0.0,0.0,6340351040207.599,0.0,0.0,0.0,0.0,3.745362861853339e-08,1.0000000000000013,3.745362861853331e-08,1.8871043599332742e-10,406185776302.95386
16,7536349350.683837,0.0,0.0,117638536927.34203,0.0,0.0,0.0,0.0,5.896722569994464e-10,1.0000000000000013,5.896722569994464e-10,2.8002503924619997e-12,7536349350.683837
17,54170659444.25503,0.0,0.0,845576130415.614,0.0,0.0,0.0,0.0,4.295952762917806e-09,0.9999999999999998,4.295952762917806e-09,8.220117418005101e-12,54170659444.25503
18,319147225.90436125,0.0,0.0,4981724038.098404,0.0,0.0,0.0,0.0,2.6983384192872587e-11,1.0000000000000004,2.6983384192872587e-11,1.6833535847749322e-13,319147225.90436125
19,39505782557220.26,0.0,0.0,616664945313263.9,0.0,0.0,0.0,0.0,5.063282078675483e-06,0.9999999999999999,5.063282078675483e-06,7.915802886872272e-08,39505782557220.26
20,6.505011464904261e+19,0.0,0.0,1.0153988301477644e+21,0.0,0.0,0.0,0.0,9.64508533889208,1.0000000000000009,9.645085338892073,0.027335896977562685,6.505011464904261e+19
21,4.68498199229357e+18,0.0,0.0,7.31301591073867e+19,0.0,0.0,0.0,0.0,0.7099732807421925,1.0000000000000004,0.7099732807421921,0.0041049147980777734,4.68498199229357e+18
