,H_mass,C_mass,S_mass,N_mass,Cl_mass,O2_fugacity
0,6.246004235159904e+20,6.066885332402556e+20,1.194e+21,4.955e+18,1.04e+20,7.888114033254868e-14
1,2.396732534846292e+20,6.915139234410225e+19,1.194e+21,4.955e+18,1.04e+20,1.745690895857033e-10
2,4.87314376251077e+20,1.3248923103668886e+20,1.194e+21,4.955e+18,1.04e+20,2.4709003285266536e-14
3,1.0528223798974912e+21,3.024833496635274e+20,1.194e+21,4.955e+18,1.04e+20,1.0979895559478341e-10
4,1.1663323422417014e+21,3.4578479044952785e+20,1.194e+21,4.955e+18,1.04e+20,2.0433423389578242e-14
5,1.549287521957474e+21,7.104400479829523e+20,1.194e+21,4.955e+18,1.04e+20,2.6661302428197088e-14
6,1.643275896774188e+20,4.75280901639685e+19,1.194e+21,4.955e+18,1.04e+20,2.361241078752172e-11
7,4.53678612915624e+20,2.1310444437208528e+20,1.194e+21,4.955e+18,1.04e+20,4.454982234341963e-16
8,1.5120929751112622e+21,5.285182367678626e+20,1.194e+21,4.955e+18,1.04e+20,1.782146680712925e-15
9,7.38398845514571e+20,6.650635926337086e+20,1.194e+21,4.955e+18,1.04e+20,5.154176293198217e-13
10,1.205106221353613e+21,1.036183837024497e+21,1.194e+21,4.955e+18,1.04e+20,2.156725038276944e-13
11,1.1656370304535403e+21,7.461995978601419e+20,1.194e+21,4.955e+18,1.04e+20,5.406381729414173e-11
12,8.665719832143793e+20,1.9373833509865452e+20,1.194e+21,4.955e+18,1.04e+20,1.4061071351106863e-09
13,1.361524605366538e+21,7.383201002972149e+20,1.194e+21,4.955e+18,1.04e+20,2.4257879598644452e-08
14,1.1565847138111217e+21,6.638919077694071e+20,1.194e+21,4.955e+18,1.04e+20,1.1963641694178468e-13
15,7.832918460729303e+20,3.445048676673147e+20,1.194e+21,4.955e+18,1.04e+20,5.29679619991608e-14
16,6.97920780657129e+20,3.974399396375674e+20,1.194e+21,4.955e+18,1.04e+20,3.326855608587576e-15
17,1.130242293693427e+21,1.0781675438473377e+21,1.194e+21,4.955e+18,1.04e+20,1.2506412018368228e-14
18,4.017191265798989e+20,2.9335993850838866e+20,1.194e+21,4.955e+18,1.04e+20,4.255710926197202e-16
19,3.0253476905388474e+20,7.795031593558018e+19,1.194e+21,4.955e+18,1.04e+20,1.3948773716693236e-12
20,1.3608517921541406e+21,5.1064016984357955e+20,1.194e+21,4.955e+18,1.04e+20,2.2029323807433183e-08
21,3.1482469003118746e+20,2.4980415772159463e+20,1.194e+21,4.955e+18,1.04e+20,3.7717732104241014e-09
22,7.941607311103454e+20,1.9151976542744547e+20,1.194e+21,4.955e+18,1.04e+20,5.638403011310148e-10
23,1.1100455164660417e+21,7.081072563213055e+20,1.194e+21,4.955e+18,1.04e+20,8.297705737379868e-14
24,9.114058921308344e+20,2.8539946675750758e+20,1.194e+21,4.955e+18,1.04e+20,1.0882856480481647e-11
25,6.752447212345675e+20,4.801903631282639e+20,1.194e+21,4.955e+18,1.04e+20,3.8955129179507523e-16
26,1.245764810172562e+21,3.972784039201082e+20,1.194e+21,4.955e+18,1.04e+20,7.436955415192137e-15
27,7.584221040046429e+20,5.8907115630482516e+20,1.194e+21,4.955e+18,1.04e+20,5.157479110516431e-12
28,1.3420593293644005e+21,9.561110669429682e+20,1.194e+21,4.955e+18,1.04e+20,2.719045138271541e-14
29,1.499350462371653e+21,1.759355444290991e+20,1.194e+21,4.955e+18,1.04e+20,7.7629071110379e-15
30,9.539697553836044e+20,8.366206157760286e+20,1.194e+21,4.955e+18,1.04e+20,3.1120949317335445e-10
31,4.97507416342077e+20,4.779860861323785e+20,1.194e+21,4.955e+18,1.04e+20,1.143183540803531e-15
32,1.1222978103797451e+21,2.193208474762098e+20,1.194e+21,4.955e+18,1.04e+20,1.3391166392038553e-10
33,2.5337829843728718e+20,5.216116362417031e+19,1.194e+21,4.955e+18,1.04e+20,1.3670140400678069e-15
34,4.3974872182162837e+20,1.4917750048449525e+20,1.194e+21,4.955e+18,1.04e+20,2.254705728347467e-09
35,3.1252114274960907e+20,4.2515160809097806e+19,1.194e+21,4.955e+18,1.04e+20,6.092951767476526e-16
