,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,1.0399999997813542e+20,0.0,0.0,1.4667347378935914e+21,0.0,0.0,0.0,0.0,6.555036785954077,1.0000000000000007,6.555036785954072,0.011409999668525295,1.0399999997813542e+20
1,1.0399999999511321e+20,0.0,0.0,1.466734738133033e+21,0.0,0.0,0.0,0.0,12.477746844406004,1.0000000000000004,12.477746844406,0.028275646335376072,1.0399999999511321e+20
2,1.040000000426131e+20,0.0,0.0,1.4667347388029343e+21,0.0,0.0,0.0,0.0,10.15557908453266,1.000000000000001,10.155579084532649,0.018068473245936224,1.040000000426131e+20
3,1.0399999999996758e+20,0.0,0.0,1.466734738201495e+21,0.0,0.0,0.0,0.0,17.075984550272622,1.000000000000001,17.075984550272608,0.03938286883121422,1.0399999999996758e+20
4,1.0399999995110885e+20,0.0,0.0,1.4667347375124298e+21,0.0,0.0,0.0,0.0,8.989012828386484,1.0000000000000004,8.98901282838648,0.014022055901646041,1.0399999995110885e+20
5,1.0399999995002187e+20,0.0,0.0,1.4667347374970999e+21,0.0,0.0,0.0,0.0,17.709578542965883,1.0,17.709578542965883,0.048384283259800015,1.0399999995002187e+20
6,1.0399999999694183e+20,0.0,0.0,1.4667347381588224e+21,0.0,0.0,0.0,0.0,11.051095185823554,1.000000000000001,11.051095185823542,0.022600446336830258,1.0399999999694183e+20
7,1.0400000001052313e+20,0.0,0.0,1.4667347383503623e+21,0.0,0.0,0.0,0.0,9.03849251027269,1.0000000000000016,9.038492510272675,0.015496031123010602,1.0400000001052313e+20
8,1.0400000000000084e+20,0.0,0.0,1.4667347382019642e+21,0.0,0.0,0.0,0.0,16.301272960873426,1.000000000000002,16.30127296087339,0.020991375234914424,1.0400000000000084e+20
9,1.0399999999467032e+20,0.0,0.0,1.4667347381267868e+21,0.0,0.0,0.0,0.0,12.342984642684586,1.0000000000000007,12.342984642684579,0.032840089940001815,1.0399999999467032e+20
10,1.040000000005713e+20,0.0,0.0,1.4667347382100094e+21,0.0,0.0,0.0,0.0,11.388795377020637,1.0000000000000018,11.38879537702062,0.01225057673024455,1.040000000005713e+20
11,1.0400000000352105e+20,0.0,0.0,1.4667347382516106e+21,0.0,0.0,0.0,0.0,16.593815909551164,1.0000000000000016,16.59381590955114,0.038623341666755254,1.0400000000352105e+20
12,1.039999999966006e+20,0.0,0.0,1.46673473815401e+21,0.0,0.0,0.0,0.0,12.97474503611836,1.0000000000000018,12.974745036118339,0.028623975524646093,1.039999999966006e+20
13,1.0399999996644757e+20,0.0,0.0,1.466734737728755e+21,0.0,0.0,0.0,0.0,10.312766404625515,0.9999999999999998,10.312766404625515,0.021712445920493754,1.0399999996644757e+20
14,1.0399999999959045e+20,0.0,0.0,1.4667347381961763e+21,0.0,0.0,0.0,0.0,11.904545400386922,1.000000000000001,11.90454540038691,0.021983126082130724,1.0399999999959045e+20
15,1.0399999999847116e+20,0.0,0.0,1.4667347381803908e+21,0.0,0.0,0.0,0.0,17.59363883187823,1.0,17.59363883187823,0.042431711414449555,1.0399999999847116e+20
16,1.039999999993129e+20,0.0,0.0,1.466734738192262e+21,0.0,0.0,0.0,0.0,14.353717853828913,0.9999999999999997,14.35371785382892,0.041555410325617353,1.039999999993129e+20
17,1.0400000001693008e+20,0.0,0.0,1.466734738440721e+21,0.0,0.0,0.0,0.0,12.899253699631613,1.0000000000000007,12.899253699631606,0.03721340703972625,1.0400000001693008e+20
18,1.0399999999276972e+20,0.0,0.0,1.4667347380999823e+21,0.0,0.0,0.0,0.0,12.118280021947943,1.0000000000000007,12.118280021947935,0.02283610488367942,1.0399999999276972e+20
19,1.0400000001090494e+20,0.0,0.0,1.4667347383557473e+21,0.0,0.0,0.0,0.0,15.991621121124117,1.0000000000000009,15.9916211211241,0.04759932351194205,1.0400000001090494e+20
20,1.0399999999873819e+20,0.0,0.0,1.4667347381841567e+21,0.0,0.0,0.0,0.0,15.599437459338429,1.000000000000002,15.599437459338397,0.02754309575137855,1.0399999999873819e+20
21,1.0400000000039004e+20,0.0,0.0,1.4667347382074532e+21,0.0,0.0,0.0,0.0,7.532450506186826,1.0000000000000016,7.532450506186814,0.010986141671571668,1.0400000000039004e+20
22,1.0399999999417849e+20,0.0,0.0,1.4667347381198502e+21,0.0,0.0,0.0,0.0,11.166443825521025,1.000000000000002,11.166443825521002,0.025123632072285875,1.0399999999417849e+20
23,1.039999999999303e+20,0.0,0.0,1.4667347382009693e+21,0.0,0.0,0.0,0.0,15.593072611269417,1.0000000000000009,15.5930726112694,0.04347209022857577,1.039999999999303e+20
24,1.0400000000061153e+20,0.0,0.0,1.466734738210577e+21,0.0,0.0,0.0,0.0,17.083094845821346,1.0000000000000016,17.083094845821318,0.03551728891009437,1.0400000000061153e+20
25,1.0400000000186396e+20,0.0,0.0,1.4667347382282402e+21,0.0,0.0,0.0,0.0,11.897335282513508,0.9999999999999999,11.897335282513508,0.034185774305980965,1.0400000000186396e+20
26,1.0400000000002313e+20,0.0,0.0,1.4667347382022785e+21,0.0,0.0,0.0,0.0,10.718605541465836,1.000000000000001,10.718605541465825,0.022099995923046088,1.0400000000002313e+20
27,1.0400000000006328e+20,0.0,0.0,1.4667347382028447e+21,0.0,0.0,0.0,0.0,14.62743346217493,1.0000000000000009,14.627433462174913,0.040131003435567685,1.0400000000006328e+20
28,1.0400000000142456e+20,0.0,0.0,1.466734738222043e+21,0.0,0.0,0.0,0.0,7.6774488346041645,1.000000000000001,7.6774488346041565,0.010805461709831507,1.0400000000142456e+20
29,1.0400000007191275e+20,0.0,0.0,1.4667347392161537e+21,0.0,0.0,0.0,0.0,12.982101996386264,1.0000000000000004,12.982101996386259,0.0354097121931216,1.0400000007191275e+20
30,1.0399999999331133e+20,0.0,0.0,1.4667347381076207e+21,0.0,0.0,0.0,0.0,15.658113871542701,1.000000000000002,15.65811387154267,0.022874580426138606,1.0399999999331133e+20
31,1.0400000000023749e+20,0.0,0.0,1.4667347382053015e+21,0.0,0.0,0.0,0.0,12.479431884030003,1.0000000000000007,12.479431884029996,0.013552101994847297,1.0400000000023749e+20
32,1.0400000000016056e+20,0.0,0.0,1.4667347382042168e+21,0.0,0.0,0.0,0.0,17.844032049167897,1.0000000000000009,17.84403204916788,0.058394469596472556,1.0400000000016056e+20
33,1.0400000000242993e+20,0.0,0.0,1.4667347382362222e+21,0.0,0.0,0.0,0.0,11.458008932876584,1.0000000000000013,11.458008932876567,0.027666463310207914,1.0400000000242993e+20
34,1.040000005007452e+20,0.0,0.0,1.4667347452640714e+21,0.0,0.0,0.0,0.0,9.203727912071107,1.0000000000000007,9.2037279120711,0.018763475306538734,1.040000005007452e+20
35,1.0400000000025244e+20,0.0,0.0,1.4667347382055126e+21,0.0,0.0,0.0,0.0,10.564868046268971,1.0000000000000013,10.564868046268955,0.03221204791207152,1.0400000000025244e+20
36,1.0399999992445695e+20,0.0,0.0,1.4667347371365522e+21,0.0,0.0,0.0,0.0,8.174818694556015,1.0000000000000007,8.174818694556008,0.01567640660994288,1.0399999992445695e+20
37,1.0400000000005264e+20,0.0,0.0,1.4667347382026948e+21,0.0,0.0,0.0,0.0,9.50988154543005,1.0000000000000018,9.509881545430032,0.01828624901270761,1.0400000000005264e+20
38,1.0400000003741567e+20,0.0,0.0,1.4667347387296336e+21,0.0,0.0,0.0,0.0,9.709520065018213,1.0000000000000004,9.709520065018207,0.014954727947862415,1.0400000003741567e+20
39,1.0399999999653862e+20,0.0,0.0,1.4667347381531357e+21,0.0,0.0,0.0,0.0,15.994376384630414,1.000000000000001,15.994376384630398,0.048252166630899956,1.0399999999653862e+20
40,1.0400000000006126e+20,0.0,0.0,1.4667347382028164e+21,0.0,0.0,0.0,0.0,12.511159664298557,1.0000000000000009,12.511159664298544,0.016735340534656997,1.0400000000006126e+20
41,1.039999999999582e+20,0.0,0.0,1.4667347382013628e+21,0.0,0.0,0.0,0.0,16.89455668827226,1.000000000000001,16.894556688272246,0.03108535903872639,1.039999999999582e+20
42,1.0400000002430652e+20,0.0,0.0,1.4667347385447523e+21,0.0,0.0,0.0,0.0,14.759826758638482,1.0000000000000004,14.759826758638473,0.03153260658382655,1.0400000002430652e+20
43,1.0399999999994272e+20,0.0,0.0,1.4667347382011445e+21,0.0,0.0,0.0,0.0,12.93459687324352,1.0,12.93459687324352,0.027749523534201515,1.0399999999994272e+20
44,1.040000000009639e+20,0.0,0.0,1.4667347382155464e+21,0.0,0.0,0.0,0.0,8.332658672153668,1.0000000000000002,8.332658672153666,0.010135155332128621,1.040000000009639e+20
