,H_mass,C_mass,S_mass,N_mass,Cl_mass,O2_fugacity
0,1.3775185506753362e+21,7.67515317827608e+20,1.194e+21,4.955e+18,1.04e+20,1.7658679128794165e-15
1,4.657916048400722e+20,3.0268493342544036e+20,1.194e+21,4.955e+18,1.04e+20,3.387429159287309e-13
2,6.062258522872995e+20,5.341166713078198e+20,1.194e+21,4.955e+18,1.04e+20,3.004069353448403e-14
3,1.0655419888573544e+21,2.343447643827222e+20,1.194e+21,4.955e+18,1.04e+20,3.2180076269435326e-09
4,1.1993289886231948e+21,7.016891243921719e+20,1.194e+21,4.955e+18,1.04e+20,3.299434329543754e-14
5,1.9928318751762026e+20,1.5401965866534987e+20,1.194e+21,4.955e+18,1.04e+20,1.4475343729116383e-10
6,1.2875880861721252e+21,3.554515010323757e+20,1.194e+21,4.955e+18,1.04e+20,2.769122084154156e-12
7,7.396098225945148e+20,6.148848699534904e+20,1.194e+21,4.955e+18,1.04e+20,2.700966684675695e-15
8,8.323180591689522e+20,6.662392121692652e+20,1.194e+21,4.955e+18,1.04e+20,2.480202933371624e-08
9,3.319892071580547e+20,1.7557840183430998e+20,1.194e+21,4.955e+18,1.04e+20,1.278155130937714e-14
10,1.1542094447586123e+21,1.1520059160372284e+21,1.194e+21,4.955e+18,1.04e+20,7.546010381111098e-12
11,3.4495031563589747e+20,2.648949474201504e+20,1.194e+21,4.955e+18,1.04e+20,1.5351560914231288e-10
12,1.3062528979803785e+21,2.8598074035351798e+20,1.194e+21,4.955e+18,1.04e+20,2.302966471023555e-11
13,1.1217274339177781e+21,3.41576436155125e+20,1.194e+21,4.955e+18,1.04e+20,4.1338904649784055e-13
14,7.890920227630057e+20,4.740507493380644e+20,1.194e+21,4.955e+18,1.04e+20,2.2748099675115162e-12
15,4.7654170346746544e+20,2.1495691636037996e+20,1.194e+21,4.955e+18,1.04e+20,2.409781990116366e-09
16,1.8293174423992454e+20,1.2393205160805091e+20,1.194e+21,4.955e+18,1.04e+20,4.332102760586636e-15
17,4.1487012693904635e+20,1.1624746951398641e+20,1.194e+21,4.955e+18,1.04e+20,5.94198290102024e-14
18,5.741999303034422e+20,4.666066242526361e+20,1.194e+21,4.955e+18,1.04e+20,1.122445620554542e-12
19,6.770509773296786e+20,9.547672719179994e+19,1.194e+21,4.955e+18,1.04e+20,1.3362981155138391e-11
20,6.388219054766623e+20,4.9037216057935076e+20,1.194e+21,4.955e+18,1.04e+20,4.166068252692806e-10
21,1.4135715954263138e+21,9.271480642303395e+20,1.194e+21,4.955e+18,1.04e+20,7.84693604418527e-15
22,1.2408175989081852e+21,2.745653991732697e+20,1.194e+21,4.955e+18,1.04e+20,2.4417264490042073e-12
23,1.7365120978777535e+20,1.5431361596936965e+20,1.194e+21,4.955e+18,1.04e+20,2.2381341786147346e-13
