,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,4.2057389791249714e+20,0.0,0.0,9.55642350154676e+21,0.0,0.0,0.0,0.0,71.49880729461347,1.0000000000000007,71.49880729461343,0.13171349225891504,4.2057389791249714e+20
1,4.2057389791249714e+20,0.0,0.0,9.55642350154676e+21,0.0,0.0,0.0,0.0,71.49880729461347,1.0000000000000007,71.49880729461343,0.13171349225891504,4.2057389791249714e+20
2,8.046385770734801e+20,0.0,0.0,1.8283272086932955e+22,0.0,0.0,0.0,0.0,164.30276287363387,1.0000000000000004,164.30276287363387,0.26260597694259913,8.046385770734801e+20
3,5.272459862826768e+20,0.0,0.0,1.1980263062964217e+22,0.0,0.0,0.0,0.0,131.5288420208994,1.000000000000001,131.52884202089928,0.3078409041841669,5.272459862826768e+20
4,2.305085920738801e+20,0.0,0.0,5.237694820189712e+21,0.0,0.0,0.0,0.0,43.71286461059462,0.9999999999999996,43.71286461059464,0.10162111681183537,2.305085920738801e+20
5,3.099743611754137e+20,0.0,0.0,7.043343119286921e+21,0.0,0.0,0.0,0.0,74.8807132967834,1.0000000000000007,74.88071329678336,0.18462584183247674,3.099743611754137e+20
6,6.823212323767899e+19,0.0,0.0,1.5503935677069863e+21,0.0,0.0,0.0,0.0,10.049266219157069,1.000000000000002,10.04926621915705,0.02159936024021684,6.823212323767899e+19
7,7.047392038642259e+18,0.0,0.0,1.601332446853526e+20,0.0,0.0,0.0,0.0,0.8506802596568102,1.0000000000000009,0.8506802596568094,0.002004842470928688,7.047392038642259e+18
8,2.682007969932319e+19,0.0,0.0,6.094149951390822e+20,0.0,0.0,0.0,0.0,3.2620631761538763,1.0000000000000013,3.2620631761538723,0.006046822442950356,2.682007969932319e+19
9,1.7762622671345536e+21,0.0,0.0,4.036083684415209e+22,0.0,0.0,0.0,0.0,427.9567622410761,1.0000000000000009,427.95676224107564,0.6086317828150005,1.7762622671345536e+21
10,1.2896404272885789e+19,0.0,0.0,2.9303649487181283e+20,0.0,0.0,0.0,0.0,1.7636368650748884,1.0000000000000007,1.7636368650748873,0.004317369479565087,1.2896404272885789e+19
11,1.0343511039221333e+21,0.0,0.0,2.3502878441659443e+22,0.0,0.0,0.0,0.0,269.9847203059578,1.0000000000000009,269.9847203059575,0.4661500461690597,1.0343511039221333e+21
12,2.7667377664810595e+20,0.0,0.0,6.286675883941235e+21,0.0,0.0,0.0,0.0,63.349699483642716,1.0000000000000013,63.34969948364262,0.15741850485632158,2.7667377664810595e+20
13,1.4472339175421337e+21,0.0,0.0,3.288454250366418e+22,0.0,0.0,0.0,0.0,338.8487040207981,0.9999999999999997,338.8487040207981,0.5197641074477176,1.4472339175421337e+21
