,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,1.0400000002116469e+20,0.0,0.0,1.4667347385004427e+21,0.0,0.0,0.0,0.0,10.973748118570162,1.0000000000000007,10.973748118570155,0.020215591595965917,1.0400000002116469e+20
1,1.0400000002116469e+20,0.0,0.0,1.4667347385004427e+21,0.0,0.0,0.0,0.0,10.973748118570162,1.0000000000000007,10.973748118570155,0.020215591595965917,1.0400000002116469e+20
2,1.0400000000429928e+20,0.0,0.0,1.466734738262586e+21,0.0,0.0,0.0,0.0,13.180822817350819,1.0000000000000004,13.180822817350812,0.021066978986347688,1.0400000000429928e+20
3,1.039999999863958e+20,0.0,0.0,1.4667347380100895e+21,0.0,0.0,0.0,0.0,16.102978760014107,1.000000000000001,16.102978760014093,0.03768873400978855,1.039999999863958e+20
4,1.0400000005907574e+20,0.0,0.0,1.4667347390351105e+21,0.0,0.0,0.0,0.0,12.241105919335586,0.9999999999999996,12.241105919335594,0.028457408719751477,1.0400000005907574e+20
5,1.0399999999453299e+20,0.0,0.0,1.4667347381248498e+21,0.0,0.0,0.0,0.0,15.593467696783023,1.0000000000000007,15.593467696783014,0.038447244608843315,1.0399999999453299e+20
6,1.0400000018464906e+20,0.0,0.0,1.4667347408060985e+21,0.0,0.0,0.0,0.0,9.50701047157112,1.000000000000002,9.5070104715711,0.020433864473758834,1.0400000018464906e+20
7,1.0399999998996269e+20,0.0,0.0,1.4667347380603938e+21,0.0,0.0,0.0,0.0,7.791775469688016,1.0000000000000009,7.79177546968801,0.018363283041119297,1.0399999998996269e+20
8,1.0399999228142641e+20,0.0,0.0,1.4667346293452214e+21,0.0,0.0,0.0,0.0,7.85110484930684,1.0000000000000013,7.8511048493068305,0.014553438864025712,1.0399999228142641e+20
9,1.0399999999868551e+20,0.0,0.0,1.4667347381834138e+21,0.0,0.0,0.0,0.0,15.552181240524348,1.0000000000000009,15.552181240524332,0.022118009645446884,1.0399999999868551e+20
10,1.0400000047312778e+20,0.0,0.0,1.4667347448745768e+21,0.0,0.0,0.0,0.0,8.827526648100918,1.0000000000000007,8.82752664810091,0.021609717331997406,1.0400000047312778e+20
11,1.039999999986239e+20,0.0,0.0,1.466734738182545e+21,0.0,0.0,0.0,0.0,16.84882849708033,1.0000000000000009,16.848828497080316,0.029090839559023918,1.039999999986239e+20
12,1.0400000000690946e+20,0.0,0.0,1.4667347382993979e+21,0.0,0.0,0.0,0.0,14.780021526294215,1.0000000000000013,14.780021526294194,0.03672707067875261,1.0400000000690946e+20
13,1.039999999978777e+20,0.0,0.0,1.466734738172021e+21,0.0,0.0,0.0,0.0,15.113519220055904,0.9999999999999997,15.113519220055913,0.02318280912570387,1.039999999978777e+20
14,1.0399999998717303e+20,0.0,0.0,1.4667347380210507e+21,0.0,0.0,0.0,0.0,13.687394268111863,1.0000000000000022,13.687394268111834,0.018506119630005494,1.0399999998717303e+20
15,1.0399999994246637e+20,0.0,0.0,1.466734737390543e+21,0.0,0.0,0.0,0.0,14.003667737897311,1.000000000000001,14.003667737897297,0.036906273092191084,1.0399999994246637e+20
16,1.040000000021782e+20,0.0,0.0,1.466734738232672e+21,0.0,0.0,0.0,0.0,12.24683313897208,1.0000000000000013,12.246833138972063,0.01125636144897961,1.040000000021782e+20
17,1.0399999993837666e+20,0.0,0.0,1.466734737332865e+21,0.0,0.0,0.0,0.0,15.482003997861385,1.0000000000000007,15.482003997861376,0.038842622158130564,1.0399999993837666e+20
18,1.0399999969354098e+20,0.0,0.0,1.4667347338798938e+21,0.0,0.0,0.0,0.0,8.594394053784018,1.0000000000000002,8.594394053784015,0.019043771968939714,1.0399999969354098e+20
19,1.0400000000914819e+20,0.0,0.0,1.4667347383309713e+21,0.0,0.0,0.0,0.0,13.754952886987176,1.000000000000001,13.754952886987162,0.040035721411445506,1.0400000000914819e+20
20,1.0399999999932919e+20,0.0,0.0,1.466734738192492e+21,0.0,0.0,0.0,0.0,9.894057737564225,1.0000000000000016,9.894057737564209,0.014065179223400968,1.0399999999932919e+20
21,1.0400000000006645e+20,0.0,0.0,1.4667347382028896e+21,0.0,0.0,0.0,0.0,16.27590063187664,1.0000000000000009,16.275900631876624,0.028783729963224786,1.0400000000006645e+20
22,1.0400000000626362e+20,0.0,0.0,1.4667347382902897e+21,0.0,0.0,0.0,0.0,13.484392780611968,1.0000000000000013,13.484392780611946,0.03657844272607328,1.0400000000626362e+20
23,1.0400000002116469e+20,0.0,0.0,1.4667347385004427e+21,0.0,0.0,0.0,0.0,10.973748118570162,1.0000000000000007,10.973748118570155,0.020215591595965917,1.0400000002116469e+20
