,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,2.96743673046593e+18,0.0,1.441108931149066e+20,1.47202898307834e+21,7.148776223752511e+22,0.0,0.0,44.355461100309824,11.013358352752896,1.0000000000000007,11.013358352752888,0.020288560677140986,1.4707832984537253e+20
1,2.96743673046593e+18,0.0,1.441108931149066e+20,1.47202898307834e+21,7.148776223752511e+22,0.0,0.0,44.355461100309824,11.013358352752896,1.0000000000000007,11.013358352752888,0.020288560677140986,1.4707832984537253e+20
2,2.81476239660479e+17,0.0,4.615820062810756e+19,1.3962932337333187e+20,2.28972730686159e+22,0.0,0.0,14.206894622378444,1.2547799704195604,1.0000000000000004,1.2547799704195597,0.002005521478865599,4.643967686776804e+19
3,1.137757298248079e+17,0.0,3.18887652201367e+19,5.643967743390134e+19,1.5818765790922634e+22,0.0,0.0,9.814947743963282,0.619639600390994,1.000000000000001,0.6196396003909933,0.0014502554110707516,3.200254094996151e+19
4,1.344987091697842e+18,0.0,1.0079708414559417e+20,6.671953475936795e+20,5.000148031759506e+22,0.0,0.0,31.024033285809224,5.5682930944657,0.9999999999999996,5.5682930944657025,0.012944842852007676,1.0214207123729202e+20
5,1.1750858967458029e+17,0.0,3.1890938536758723e+19,5.829140280759503e+19,1.5819843888064242e+22,0.0,0.0,9.815616662591175,0.6197201736985304,1.0000000000000007,0.6197201736985299,0.0015279816889053964,3.2008447126433305e+19
6,1.2178476152797374e+19,0.0,2.801853239667094e+20,6.04126439583139e+21,1.3898895072564236e+23,0.0,0.0,86.23740349852552,39.15797606398388,1.000000000000002,39.1579760639838,0.084164078534554,2.9236380011950676e+20
7,3.232600164091716e+19,0.0,4.2108462333041305e+20,1.6035661631443289e+22,2.088835672576138e+23,0.0,0.0,129.60437775635984,85.1866882932941,1.0000000000000009,85.18668829329401,0.20076390478022824,4.534106249713302e+20
8,3.264035624309205e+19,0.0,4.249120050582077e+20,1.6191600621014548e+22,2.107821812279725e+23,0.0,0.0,130.78239613979923,86.67004351730392,1.0000000000000013,86.6700435173038,0.1606585574746072,4.5755236130129976e+20
9,2.6101838798849456e+16,0.0,1.4474113824107264e+19,1.2948098548848323e+19,7.180040212724387e+21,0.0,0.0,4.45494423641344,0.137292156590811,1.0000000000000009,0.1372921565908109,0.00019525423455117743,1.4500215662906114e+19
10,1.9517221618738184e+19,0.0,3.450820442230627e+20,9.681728205687724e+21,1.7118166848211487e+23,0.0,0.0,106.21177107511932,58.26937285970341,1.0000000000000007,58.269372859703374,0.1426429765444937,3.645992658418009e+20
11,2.098896532112418e+16,0.0,1.3464652956065145e+19,1.04118025366188e+19,6.679286265795887e+21,0.0,0.0,4.144245292725499,0.11960354569792912,1.0000000000000009,0.11960354569792903,0.000206505013638887,1.3485641921386269e+19
12,3.0807034056547904e+17,0.0,5.138852840401235e+19,1.5282161384717907e+20,2.5491833551771557e+22,0.0,0.0,15.81672157710445,1.5399558511603681,1.0000000000000013,1.5399558511603662,0.003826656631528347,5.169659874457783e+19
13,4.8060439168837304e+16,0.0,1.963528563953116e+19,2.3840899005416636e+19,9.74029513608989e+21,0.0,0.0,6.0434858847433555,0.24566124737104117,0.9999999999999997,0.24566124737104122,0.00037682274554742,1.9683346078699995e+19
14,4.7299196371524986e+17,0.0,6.179888680394651e+19,2.346327630859593e+20,3.06560040736246e+22,0.0,0.0,19.020894676499392,2.189565061305527,1.0000000000000022,2.189565061305522,0.0029604139523183364,6.227187876766176e+19
15,4.982834568489109e+17,0.0,6.427440987545202e+19,2.4717888093098253e+20,3.188401398268947e+22,0.0,0.0,19.782828524300406,2.359943370906271,1.000000000000001,2.3599433709062683,0.006219564485457481,6.477269333230093e+19
16,1.082102621782993e+18,0.0,8.996004518846236e+19,5.3678867204677304e+20,4.462565030515792e+22,0.0,0.0,27.68853345289701,4.482038316872804,1.0000000000000013,4.4820383168727975,0.004119550152304194,9.104214781024536e+19
17,1.6494726169860675e+17,0.0,3.795134760345422e+19,8.182386751734812e+19,1.8826175144901447e+22,0.0,0.0,11.680931857018845,0.8636854448048528,1.0000000000000007,0.8636854448048522,0.0021668905007818087,3.811629486515283e+19
18,1.9138308425821016e+19,0.0,3.3679616059228153e+20,9.493764231150938e+21,1.6707136657417524e+23,0.0,0.0,103.66148371569147,55.62911204836333,1.0000000000000002,55.62911204836333,0.12326501648096895,3.559344690181025e+20
19,7.950169503214844e+17,0.0,8.134047452349143e+19,3.943767295513747e+20,4.034981934631661e+22,0.0,0.0,25.0355415584769,3.698441983365069,1.000000000000001,3.6984419833650652,0.010764834610409954,8.213549147381291e+19
20,5.814146544736886e+18,0.0,1.9418880247107135e+20,2.8841700777807855e+21,9.63294490803883e+22,0.0,0.0,59.768791157608916,19.455559707874837,1.0000000000000016,19.45555970787481,0.027657604335974483,2.0000294901580825e+20
