,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,2.601366075784466e+19,0.0,1.0305258091861357e+22,1.4439770378259674e+21,5.72028527320234e+23,0.0,0.0,3171.8245896772414,10.803480606385355,1.0000000000000007,10.80348060638535,0.019901928620362858,1.0331271752619202e+22
1,2.601366075784466e+19,0.0,1.0305258091861357e+22,1.4439770378259674e+21,5.72028527320234e+23,0.0,0.0,3171.8245896772414,10.803480606385355,1.0000000000000007,10.80348060638535,0.019901928620362858,1.0331271752619202e+22
2,4.2897884483123297e+18,0.0,4.586377960866032e+21,2.3811935098854264e+20,2.5458256428920794e+23,0.0,0.0,1411.6275656712935,2.1398613483992177,1.0000000000000004,2.139861348399217,0.003420151737498627,4.590667749314344e+21
3,6.570468055167904e+18,0.0,6.273817875042362e+21,3.647162576520654e+20,3.482496767907368e+23,0.0,0.0,1930.9996537526508,4.004144715608857,1.000000000000001,4.004144715608853,0.009371629148391824,6.28038834309753e+21
4,1.1186182019826024e+19,0.0,7.137266475494517e+21,6.209272169700112e+20,3.9617833873501525e+23,0.0,0.0,2196.757917973074,5.182147547775666,0.9999999999999996,5.182147547775669,0.012047154218326889,7.148452657514343e+21
5,2.066678336579132e+18,0.0,3.462489293197504e+21,1.147180356648846e+20,1.9219728740360918e+23,0.0,0.0,1065.709231516622,1.2196152016319888,1.0000000000000007,1.2196152016319879,0.003007082510292598,3.464555971534083e+21
6,1.8201204703095353e+19,0.0,8.023293804202414e+21,1.0103199967391778e+21,4.4536031006347074e+23,0.0,0.0,2469.4656214842767,6.548643405935971,1.000000000000002,6.548643405935957,0.014075307084599864,8.041495008905509e+21
7,9.451473270275334e+18,0.0,5.234179509758208e+21,5.246362864091665e+20,2.905410005268419e+23,0.0,0.0,1611.0124683774113,2.78703983813523,1.0000000000000009,2.787039838135228,0.006568361934151288,5.243630983028484e+21
8,1.6235091052262474e+19,0.0,6.886101378498467e+21,9.011841472335396e+20,3.822365626758245e+23,0.0,0.0,2119.4525634036527,4.8238386732726415,1.0000000000000013,4.823838673272635,0.008941855008801012,6.90233646955073e+21
9,5.81172288392363e+18,0.0,5.798674707134589e+21,3.225995169504449e+20,3.2187523335790254e+23,0.0,0.0,1784.7567581208339,3.420609074775686,1.0000000000000009,3.420609074775683,0.004864723689822494,5.804486430018512e+21
10,8.951977565167885e+18,0.0,5.422001748625393e+21,4.9691007227183694e+20,3.0096671502515574e+23,0.0,0.0,1668.8217139505678,2.9906477091496795,1.0000000000000007,2.9906477091496773,0.007321082587523371,5.430953726190562e+21
11,1.1980179838329424e+19,0.0,8.665570635213419e+21,6.650007761924316e+20,4.8101207797652177e+23,0.0,0.0,2667.150087784986,7.639066381133946,1.0000000000000009,7.639066381133941,0.013189454359560369,8.677550815051749e+21
12,4.693740925416027e+18,0.0,5.080164013421321e+21,2.6054211211933657e+20,2.8199184467176798e+23,0.0,0.0,1563.608499052423,2.6254358917651173,1.0000000000000013,2.6254358917651137,0.006523980319504164,5.084857754346737e+21
