,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,1.0014412889605113e+21,0.0,0.0,2.9384426314018935e+22,0.0,0.0,0.0,0.0,219.84704153690546,1.0000000000000007,219.84704153690524,0.4049972677767744,1.0014412889605113e+21
1,1.0014412889605113e+21,0.0,0.0,2.9384426314018935e+22,0.0,0.0,0.0,0.0,219.84704153690546,1.0000000000000007,219.84704153690524,0.4049972677767744,1.0014412889605113e+21
2,2.073503320999077e+20,0.0,0.0,6.084101606297308e+21,0.0,0.0,0.0,0.0,54.67482509506602,1.0000000000000004,54.674825095066,0.08738706280489213,2.073503320999077e+20
3,9.717983304134987e+19,0.0,0.0,2.8514638598297386e+21,0.0,0.0,0.0,0.0,31.305634740799512,1.000000000000001,31.30563474079948,0.07327027864455526,9.717983304134987e+19
4,6.994338609118218e+20,0.0,0.0,2.0522883342294086e+22,0.0,0.0,0.0,0.0,171.28031543621617,0.9999999999999996,171.28031543621617,0.39818248237826837,6.994338609118218e+20
5,9.884461199841033e+19,0.0,0.0,2.9003120300940675e+21,0.0,0.0,0.0,0.0,30.83442477791329,1.0000000000000007,30.834424777913274,0.07602533925497428,9.884461199841033e+19
6,1.2409098081829671e+21,0.0,0.0,3.641094412908073e+22,0.0,0.0,0.0,0.0,236.0067007922079,1.000000000000002,236.00670079220743,0.5072602952639813,1.2409098081829671e+21
7,1.264006550376081e+21,0.0,0.0,3.7088651875454877e+22,0.0,0.0,0.0,0.0,197.02706998616713,1.0000000000000009,197.02706998616694,0.46434395690604713,1.264006550376081e+21
8,1.2641399897148663e+21,0.0,0.0,3.7092567270656924e+22,0.0,0.0,0.0,0.0,198.54827788575489,1.0000000000000013,198.54827788575466,0.36804504324293114,1.2641399897148663e+21
9,2.2098358267316978e+19,0.0,0.0,6.484130296253162e+20,0.0,0.0,0.0,0.0,6.87529700696935,1.0000000000000009,6.875297006969345,0.009777913667776495,2.2098358267316978e+19
10,1.2569520073621305e+21,0.0,0.0,3.688165651620853e+22,0.0,0.0,0.0,0.0,221.97183700777208,1.0000000000000007,221.97183700777185,0.5433853495570119,1.2569520073621305e+21
11,1.63223859045875e+19,0.0,0.0,4.7893366407947774e+20,0.0,0.0,0.0,0.0,5.50165681461422,1.0000000000000009,5.501656814614216,0.00949904711360122,1.63223859045875e+19
12,2.369426852170859e+20,0.0,0.0,6.952404450623551e+21,0.0,0.0,0.0,0.0,70.05812622864637,1.0000000000000013,70.05812622864626,0.1740883630678717,2.369426852170859e+20
13,4.064537146256719e+19,0.0,0.0,1.1926220098109304e+21,0.0,0.0,0.0,0.0,12.289008501975786,0.9999999999999997,12.289008501975792,0.01885025812303184,4.064537146256719e+19
14,3.3271590151462e+20,0.0,0.0,9.762595170912955e+21,0.0,0.0,0.0,0.0,91.1033779458578,1.0000000000000022,91.1033779458576,0.1231768427166249,3.3271590151462e+20
15,3.517235606734738e+20,0.0,0.0,1.0320320487526448e+22,0.0,0.0,0.0,0.0,98.53338532982005,1.000000000000001,98.53338532981994,0.2596819701626585,3.517235606734738e+20
16,6.065978737225711e+20,0.0,0.0,1.7798877197427305e+22,0.0,0.0,0.0,0.0,148.61574722134145,1.0000000000000013,148.6157472213413,0.1365963387228788,6.065978737225711e+20
17,1.3603696711682787e+20,0.0,0.0,3.99161516535461e+21,0.0,0.0,0.0,0.0,42.13318221420126,1.0000000000000007,42.13318221420124,0.10570745733510688,1.3603696711682787e+20
18,1.256142548489307e+21,0.0,0.0,3.685790526402339e+22,0.0,0.0,0.0,0.0,215.97045090635763,1.0000000000000002,215.97045090635763,0.47855520626016723,1.256142548489307e+21
