,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,14671692.481487364,0.0,0.0,458507440.7919346,0.0,0.0,0.0,0.0,3.430439760965266e-12,1.0000000000000007,3.430439760965266e-12,6.319478855622999e-15,14671692.481487364
1,14671692.481487364,0.0,0.0,458507440.7919346,0.0,0.0,0.0,0.0,3.430439760965266e-12,1.0000000000000007,3.430439760965266e-12,6.319478855622999e-15,14671692.481487364
2,36918236.03915938,0.0,0.0,1153737780.847456,0.0,0.0,0.0,0.0,1.036807329254878e-11,1.0000000000000004,1.036807329254878e-11,1.657134650922638e-14,36918236.03915938
3,433892687.1506788,0.0,0.0,13559650722.969975,0.0,0.0,0.0,0.0,1.488686140218036e-10,1.000000000000001,1.488686140218036e-10,3.4842433067139713e-13,433892687.1506788
4,11838646.967972782,0.0,0.0,369971476.0634156,0.0,0.0,0.0,0.0,3.087715798293909e-12,0.9999999999999996,3.087715798293909e-12,7.17814150629069e-15,11838646.967972782
5,41558420.762690365,0.0,0.0,1298748946.0605056,0.0,0.0,0.0,0.0,1.3807540798083703e-11,1.0000000000000007,1.3807540798083703e-11,3.4043864317622333e-14,41558420.762690365
6,492227.17986916483,0.0,0.0,15382671.41400461,0.0,0.0,0.0,0.0,9.970665734235345e-14,1.000000000000002,9.970665734235345e-14,2.1430420523439985e-16,492227.17986916483
7,22985.492028850782,0.0,0.0,718323.3385507393,0.0,0.0,0.0,0.0,3.815968916114663e-15,1.0000000000000009,3.815968916114663e-15,8.993292678328756e-18,22985.492028850782
8,66018.25822647924,0.0,0.0,2063147.2928674303,0.0,0.0,0.0,0.0,1.1043569430890733e-14,1.0000000000000013,1.1043569430890733e-14,2.0471247759133107e-17,66018.25822647924
9,6678385358.174151,0.0,0.0,208707303745.8003,0.0,0.0,0.0,0.0,2.212979436278926e-09,1.0000000000000009,2.212979436278926e-09,3.1472563082824956e-12,6678385358.174151
10,49929.6063714977,0.0,0.0,1560358.2249307928,0.0,0.0,0.0,0.0,9.390998515098146e-15,1.0000000000000007,9.390998515098146e-15,2.2989092128103253e-17,49929.6063714977
11,40510732841.49426,0.0,0.0,1266007480949.8938,0.0,0.0,0.0,0.0,1.454301338016764e-08,1.0000000000000009,1.454301338016764e-08,2.5109666765289184e-11,40510732841.49426
12,32904748.82005319,0.0,0.0,1028311640.9658108,0.0,0.0,0.0,0.0,1.0362111015953311e-11,1.0000000000000013,1.0362111015953311e-11,2.574894650775376e-14,32904748.82005319
13,948498483.0554752,0.0,0.0,29641679895.454716,0.0,0.0,0.0,0.0,3.054336187421496e-10,0.9999999999999997,3.054336187421496e-10,4.685083057608383e-13,948498483.0554752
14,591602283.341622,0.0,0.0,18488258886.553032,0.0,0.0,0.0,0.0,1.7253023478028704e-10,1.0000000000000022,1.7253023478028634e-10,2.3327048977287675e-13,591602283.341622
15,4067152.7224171646,0.0,0.0,127103249.22761707,0.0,0.0,0.0,0.0,1.213519817330657e-12,1.000000000000001,1.213519817330657e-12,3.1981974022411304e-15,4067152.7224171646
16,160852204.7765962,0.0,0.0,5026818334.07543,0.0,0.0,0.0,0.0,4.197255560438051e-11,1.0000000000000013,4.197255560438051e-11,3.857799411970739e-14,160852204.7765962
17,41217556.97433137,0.0,0.0,1288096556.5385518,0.0,0.0,0.0,0.0,1.3596402628483987e-11,1.0000000000000007,1.3596402628483987e-11,3.4111858521737184e-14,41217556.97433137
18,13613.215446175882,0.0,0.0,425428.8033266201,0.0,0.0,0.0,0.0,2.4928180216656377e-15,1.0000000000000002,2.4928180216656377e-15,5.523677139723672e-18,13613.215446175882
19,2731467.6438247985,0.0,0.0,85361538.2517287,0.0,0.0,0.0,0.0,8.005155304014714e-13,1.000000000000001,8.005155304014714e-13,2.3300128342139885e-15,2731467.6438247985
20,1366348.2277670626,0.0,0.0,42699970.02285594,0.0,0.0,0.0,0.0,2.880384283521023e-13,1.0000000000000016,2.880384283521023e-13,4.0946922137089113e-16,1366348.2277670626
21,14124523649.033863,0.0,0.0,441407778884.0855,0.0,0.0,0.0,0.0,4.898165264741251e-09,1.0000000000000009,4.898165264741251e-09,8.662344989956089e-12,14124523649.033863
22,27908253.36745834,0.0,0.0,872165351.3820778,0.0,0.0,0.0,0.0,8.018232513798117e-12,1.0000000000000013,8.018232513798117e-12,2.1750661193435863e-14,27908253.36745834
23,14671692.481487364,0.0,0.0,458507440.7919346,0.0,0.0,0.0,0.0,3.430439760965266e-12,1.0000000000000007,3.430439760965266e-12,6.319478855622999e-15,14671692.481487364
24,36918236.03915938,0.0,0.0,1153737780.847456,0.0,0.0,0.0,0.0,1.036807329254878e-11,1.0000000000000004,1.036807329254878e-11,1.657134650922638e-14,36918236.03915938
