,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,2.5174584007756523e+20,0.0,0.0,3.9255794528199964e+21,0.0,0.0,0.0,0.0,29.37021876138521,1.0000000000000007,29.370218761385193,0.05410515542630306,2.5174584007756523e+20
1,2.5174584007756523e+20,0.0,0.0,3.9255794528199964e+21,0.0,0.0,0.0,0.0,29.37021876138521,1.0000000000000007,29.370218761385193,0.05410515542630306,2.5174584007756523e+20
2,9.986486229687887e+20,0.0,0.0,1.557235072367189e+22,0.0,0.0,0.0,0.0,139.94104754176578,1.0000000000000004,139.94104754176578,0.22366851817543834,9.986486229687887e+20
3,1.098945252091863e+21,0.0,0.0,1.7136318518934517e+22,0.0,0.0,0.0,0.0,188.1361134935776,1.000000000000001,188.1361134935774,0.4403292114314771,1.098945252091863e+21
4,5.358776681332143e+20,0.0,0.0,8.356167325746837e+21,0.0,0.0,0.0,0.0,69.73907864311492,0.9999999999999996,69.73907864311496,0.16212534045238708,5.358776681332143e+20
5,1.100660317859726e+21,0.0,0.0,1.716306226547064e+22,0.0,0.0,0.0,0.0,182.46766102822824,1.0000000000000007,182.46766102822804,0.4498921556879287,1.100660317859726e+21
6,2.6489868531177705e+19,0.0,0.0,4.130677336390327e+20,0.0,0.0,0.0,0.0,2.6774025049793146,1.000000000000002,2.6774025049793093,0.005754667052492313,2.6489868531177705e+19
7,4.75978656174244e+18,0.0,0.0,7.422136675953757e+19,0.0,0.0,0.0,0.0,0.3942882171103728,1.0000000000000009,0.3942882171103725,0.0009292395755939282,4.75978656174244e+18
8,4.634245002841075e+18,0.0,0.0,7.226374408761438e+19,0.0,0.0,0.0,0.0,0.38681177923003957,1.0000000000000013,0.38681177923003907,0.0007170253982032101,4.634245002841075e+18
9,1.1179329206160257e+21,0.0,0.0,1.7432401272049502e+22,0.0,0.0,0.0,0.0,184.84041932233748,1.0000000000000009,184.84041932233728,0.26287644891811124,1.1179329206160257e+21
10,1.1397027844208603e+19,0.0,0.0,1.7771867973928737e+20,0.0,0.0,0.0,0.0,1.0695978851977248,1.0000000000000007,1.0695978851977241,0.002618367395469437,1.1397027844208603e+19
